title,text,subject,date
"Mum faces £1,000 bill to keep daughter walking","Supplier Made for Movement says it is ""unfortunate"" the NHS does not pay for the equipment.",Technology,12/1/2024
London's new tram-like buses come into service,The vehicles use pantograph technology and have a structure attached to the bus roof to recharge them.,London,11/20/2024
Black Myth: Wukong crowned Ultimate Game of the Year at Golden Joystick Awards,FF VII Rebirth and Helldivers 2 have scooped up the most awards at the public-voted gaming events.,Technology,12/8/2024
How Liverpool are getting local kids into 'STEM' subjects,Match of the Day's Rubi Deschamps visits an LFC Foundation event aimed at giving opportunities to local schoolchildren in STEM subjects.,Climate,11/20/2024
'God's influencer' to be made first millennial saint in April,"London-born Carlo Acutis, who died of leukaemia aged 15, will be canonised by the Catholic church in 2025.",Cornwall,11/27/2024
New tram-like bus involved in crash on launch day,The Go-Ahead London bus reportedly collided with a car belonging to the wife of a Labour councillor.,Australia,11/21/2024
Bluesky chief doesn't know age limit for platform,"Jay Graber wrongly said you needed to be 18 to use Bluesky, when the actual age limit is 13.",Technology,11/21/2024
Is nuclear power gaining new energy?,Countries around the world are building new nuclear power stations.,London,11/18/2024
Virtual reality reveals knife crime true reality,Immersive films give young people an insight into what the aftermath of a stabbing is really like.,Innovation,12/4/2024
Silent nurse call cutting hospital stays - trust,New mothers are getting more rest thanks to silent call bells on a maternity ward.,US & Canada,11/21/2024
Australia wants to ban kids from social media. Will it work?,The government has just tabled laws to block access to under-16s - but the proposal is divisive.,Jersey,11/19/2024
Instagram testing tool that resets all recommended posts,Its reset feature would cleanse a user's feed of personalised content suggested by algorithm.,World,11/25/2024
More bus stops to get CCTV so women feel safer,"It is part of a plan to improve women's and girls' safety in the capital, Transport for London says.",UK,11/22/2024
How an Arctic archipelago is moving towards clean energy,"Svalbard, a warming Arctic archipelego, begins a shift from coal to clean energy solutions.",Innovation,11/28/2024
US man awarded $1m after 27 years wrongfully jailed,"Michael Sullivan lost his mother and four siblings while behind bars and says the money will ""never make up the years"" he lost.",Technology,12/3/2024
Port offers internship with hydrogen firm,Ports of Jersey says the intern will learn how hydrogen could be used in the marine sector.,England,11/30/2024
Could a thermal camera reveal your home's hidden heat loss?,Thermal imaging tech has become cheaper and homeowners are using it to track down heat loss.,London,11/28/2024
Stowaway caught on flight from New York to Paris,The woman allegedly hopped from one lavatory to another during the seven hour journey.,Australia,11/17/2024
Lord Blunkett injured in Tube platform gap fall,"The Labour Peer, who is blind is urging Transport for London to do more for visually impaired people.",Hampshire & Isle of Wight,11/22/2024
How an Arctic archipelago is moving towards clean energy,"Svalbard, a warming Arctic archipelego, begins a shift from coal to clean energy solutions.",US & Canada,11/21/2024
"Sell Chrome to end search monopoly, Google told","The tech giant is resisting fiercely, calling the proposal ""wildly overbroad"" and claiming it will hurt consumers.",Cumbria,11/19/2024
Google reacts angrily to report it will have to sell Chrome,It's reported the US government wants the world's most popular web browser to be sold off to address monopoly concerns.,Wales,12/4/2024
New £2.45m lifeboat welcomed with water salute,The new all weather lifeboat will come into service in Hartlepool in early 2025.,Asia,12/8/2024
London's Gen Alpha views both 'uplifting and sad',"London’s Generation Alpha is made up of young people acutely aware of both local and national issues, a poll finds.",Wolverhampton,11/30/2024
Australia approves social media ban on under-16s,"The ban aims to reduce ""harms"" on children and will take at least a year to implement, the PM says.",Future,12/8/2024
Thames' first all-electric ferry built on island,"Orbit Clipper is being built on the Isle of Wight, and will go into operation in March next year.",Technology,11/17/2024
‘Do not pet’: Why are robot dogs patrolling Mar-A-Lago?,Robotic dogs are helping law enforcement protect President-elect Donald Trump at his Florida residence.,"NE, Orkney & Shetland",12/3/2024
Snoop Dogg helps Kai Cenat reclaim Twitch subscriber record,The American has been streaming continuously for 30 days to try reclaim the record he set last year.,Birmingham & Black Country,11/27/2024
Nuclear body opens cyber security hub,"It hopes the hub, at Moor Row near Sellafield, will help defend it against ""evolving threats"".",Technology,11/27/2024
£51m investment in semiconductor plant,US giant Vishay's investment follows its £142m purchase of former Newport Wafer Fab plant last year.,Technology,11/19/2024
Chocolate makers stoke boom for Indian cocoa beans,"India produces only a tiny fraction of the world's cocoa beans, but that could be changing.",Business,11/22/2024
City school reveals major refurbishment plans,"Work includes a two-storey extension to the main building, a new sports hall and 104 space car park.",England,11/18/2024
How robotaxis are trying to win passengers' trust,"Autonomous vehicles are already clocking up millions of miles on public roads, but they face an uphill battle to convince people to climb in to enjoy the ride.",England,11/18/2024
Roblox to ban young children from messaging others,"Parents will also be able to view and manage their child's account, including limiting their screen time.",Devon,11/27/2024
Fish market 'shout auction' to be replaced,The Peterhead market has until now stuck with the old method of buyers calling out their bids.,Berkshire,12/4/2024
Man overcome by new accent ahead of wedding,"A young man with cerebral palsy is gifted a new West Midlands accent, ahead of his wedding.",UK,11/15/2024
Elon Musk adds Microsoft to lawsuit against ChatGPT-maker OpenAI,"Mr Musk, a co-founder of the company, is accusing it and the tech giant of operating a monopoly.",Gloucestershire,11/14/2024
Meta fined €798m over 'unfair' Facebook Marketplace,"The European Union says the tech giant crowded out rivals, breaching competition law.",Berkshire,11/20/2024
"No plans to join Bluesky yet, Starmer says",The social media platform has been rapidly growing in popularity since the US presidential election.,Derby,11/13/2024
VW launches $5.8bn tie-up with Tesla rival Rivian,The firms will share EV technology as they face slowing sales growth and competition from Chinese rivals.,Business,12/2/2024
"Charity boss proud of helping 45,000 young people","Emma Egging is leaving the trust she set up after the death of her husband, a Red Arrows pilot.",Oxford,12/6/2024
Satellite text helps rescuers save stricken walker,A mountain rescue team says an injured rambler called 999 but could not get a phone signal.,Wales,11/19/2024
"Life getting easier over diabetes, father says",Mehdi Taheri will be running 50km for 12 days in a bid to raise funds for a diabetes charity.,UK,11/18/2024
'Mobile phones take away children's childhoods',Olly Stephens was ambushed and fatally stabbed in 2021 in Reading over a dispute on social media.,Future,11/28/2024
'Trusting' islanders at 'greater risk of fraud',"Fraudsters and scammers target people through the internet and phones, crime prevention staff say.",England,11/18/2024
Alternative education building gets £1m investment,The council spends £1.3m refurbishing the centre for children who struggle in mainstream school.,Innovation,11/18/2024
'Mobile phones take away children's childhoods',Olly Stephens was ambushed and fatally stabbed in 2021 in Reading over a dispute on social media.,Isle of Man,11/26/2024
Residents must register to use county tips,Waste bosses say the changes will make things fairer for county residents and save money.,England,11/13/2024
VW launches $5.8bn tie-up with Tesla rival Rivian,The firms will share EV technology as they face slowing sales growth and competition from Chinese rivals.,Isle of Man,12/7/2024
What is the new battery that never dies?,"The UK Atomic Energy Authority is calling it a ""safe, sustainable way"" to provide continuous power.",Innovation,12/1/2024
Should Wales copy Australia's new social media law?,The BBC's Terel Edmunds speaks to people in Cardiff about Australia's social media ban for under-16s.,England,11/20/2024
"£500m defence cuts as ships, drones and helicopters scrapped","Critics said the move would leave UK defence weaker, at a time of growing international tensions and after over a decade of funding pressures on the armed forces.",Technology,11/15/2024
Why China is building a 'bullet train for power',China produces more clean energy than any other country. Now it's rolling out an ultra-high-voltage grid to match – will its strategy of going big pay off?,Lincolnshire,11/13/2024
Cells aim to 'nudge' offenders away from crime,"Wall art and technology inside custody cells is not a ""soft approach on crime"", say police.",Travel,11/12/2024
States trial to help visually impaired islanders,The technology allows people to scan a code and get information on navigating buildings.,Surrey,11/29/2024
How new fitness technology can improve life expectancy,BBC technology reporter Lara Lewington tests how new fitness technology can improve our life expectancy.,Hampshire & Isle of Wight,11/30/2024
New dates for school science and technology event,STEMFest will take place at the end of March after it was postponed because of bus driver shortages.,Future,11/27/2024
RSC to help firms develop new uses for technology,The West Midlands and Merseyside will share a £13.5m government investment in the creative sector.,Technology,10/23/2024
Schools science and technology event rescheduled,The event which was due to run on 23 and 24 October was pushed back due to transport issues.,Technology,12/4/2024
An augmented reality journey into Earth's future,An immersive exhibit at the Natural History Museum allows visitors to experience how the world will look in 2125.,Technology,11/23/2024
Face recognition used to identify riot suspects,"Privacy campaign group Big Brother Watch says the technology is ""dangerously unregulated"".",Technology,11/27/2024
US regulator says AI scanner 'deceived' users after BBC story,"In a proposed settlement, Evolv Technology will be banned from making certain claims about its products.",Jersey,11/26/2024
Shop staff get bodycams due to 'daily abuse',"The supermarket chain has brought in the technology after a ""steady increase"" in confrontations.",Technology,12/5/2024
Five of the world's most innovative countries,The BBC speaks to residents and travellers in some of the top-ranked countries on the 2024 Global Innovation Index to find out how cutting-edge technology benefits day-to-day life.,US & Canada,12/7/2024
Heart disease treatment pioneered in Surrey,Patients will receive a coronary angiogram that uses X-ray and special dye to show any blockages.,Kent,12/4/2024
Pioneering wireless pacemaker 'a game changer',Doctors in Southampton say a new wireless pacemaker will transform the care of heart patients.,Technology,12/2/2024
Drilling the deepest holes on Earth,Reaching the geothermal energy far beneath our feet will require digging further into the Earth's crust than ever before.,Gloucestershire,12/8/2024
"Charity finds more than 500,000 child abuse victims",The Internet Watch Foundation in Histon says rapid advances in technology are making its work even harder.,England,12/5/2024
Vodafone boss says prices won't rise after Three 'mega-merger',"The deal, which creates the UK's biggest mobile network, has had to overcome competition concerns.",Wales,12/6/2024
TikTok set to be banned in the US after losing appeal,The app - which faces being banned in a matter of weeks - says it will now take its case to the Supreme Court.,Future,12/3/2024
Microsoft faces £1bn class action case in UK over software prices,"It is alleged the tech giant overcharged companies for its Window Server software, used in cloud computing.",England,12/7/2024
Trials of zero-emissions bus taking place,LibertyBus says it is trialling a new battery-powered electric bus in Jersey.,Kent,11/28/2024
'It's so easy to lie': A fifth of children use fake age on social media,"The regulator finds a fifth of children are pretending to be adults, potentially exposing them to harm.",Nottingham,11/29/2024
Canada watchdog sues Google over alleged anti-competitive conduct,"The suit is the latest regulatory headache for Google, which is facing similar action in the US.",Technology,11/20/2024
Animal robots give Gravesend a taste of the future,The Kent town hosted a one-day technology and ideas event across 18 venues.,Technology,12/3/2024
"People not AI will make games, PlayStation boss says",The gaming giant's joint CEOs reflect on its past and future as it celebrates its 30th anniversary.,Northern Ireland,12/6/2024
GCHQ chief opens £5.8m cyber and digital centre,"Anne Keast-Butler says the new centre can ""nurture the talent"" coming through the education system.",England,11/21/2024
Firms given multi-million pound heat pump funding,Ideal Heating and Gledhill will share £5.2m to increase production of heat pump technology.,Technology,11/29/2024
Incinerator future in doubt as investors pull out,"The incinerator is controversial, with a campaign group saying it hopes this ends the saga.",Technology,12/6/2024
Are India's TikTok ghosts the app's US future?,TikTok was one of India's most popular apps – until it was banned in 2020. It's a lesson for what might unfold if a US ban goes ahead.,Northamptonshire,11/26/2024
Robot could sniff out profits for farmers,A gamma ray detector is being used to make faster and better soil quality assessments.,Technology,11/29/2024
Port of Dover was ready for new border checks - chief,"The port is now in an uncertain situation waiting for a new confirmed timeline, he said.",Coventry & Warwickshire,11/26/2024
Primary school pupils referred to online crime unit,Police are now teaching children as young as nine about the dangers of hacking and online fraud.,Technology,11/28/2024
Mark Zuckerberg dines with Donald Trump at Mar-a-Lago,Relations appear to have improved markedly from Trump's threat earlier this year to throw the Meta boss in jail.,Technology,11/26/2024
LinkedIn: We're too boring for kids for social media ban,It is one of a number of tech firms pushing back against Australia's plan to ban social media for under-16s.,Technology,11/26/2024
Newry tech firm to pay £120m to shareholders,FD Technologies has sold a significant part of the business.,Future,11/28/2024
Dementia device seeks 100 people for further trials,A start-up firm says its small box can help sufferers retain independence and ease relatives' minds.,Gloucestershire,12/6/2024
Online star Hawk Tuah girl faces crypto coin criticism,"Haliey Welch's ""Hawk"" digital coin shot up in price then lost 95% of its value just hours after it launched.",South Yorkshire,12/2/2024
Why is vintage audio equipment booming?,"Music lovers are buying up old cassette, CD and record players and getting them fixed.",Technology,12/7/2024
Aston Martin F1 team launches new concert space,The famous British brand and racing team hosts a gig at its new performance space.,Technology,12/5/2024
What next for Bitcoin after bursting $100k barrier?,The rapid increase in price has been attributed to Donald Trump's election victory - can it continue?,Technology,11/29/2024
Hospital in world-first cancer tool trial,The scanner allows surgeons to check patients while they are still on the operating table.,London,12/4/2024
Telegram U-turns and joins child safety scheme,It is the latest in a series of changes announced by the platform since its founder Pavel Durov was arrested.,Cornwall,12/6/2024
Online star Hawk Tuah girl faces crypto coin criticism,"Haliey Welch's ""Hawk"" digital coin shot up in price then lost 95% of its value just hours after it launched.",Wear,12/2/2024
Why is vintage audio equipment booming?,"Music lovers are buying up old cassette, CD and record players and getting them fixed.",Technology,11/25/2024
Is there something special about the human voice?,Artificial intelligence-powered speech synthesisers can now hold eerily realistic spoken conversations and clone the voices of others. Can we tell them apart from the human voice?,Technology,12/5/2024
Is AI any good at choosing gifts?,"With vast amounts of data do draw on, AI should be able to come up with good gift ideas, but does it?",Jersey,12/5/2024
Charity hopes to remove rural 'digital poverty',"Gloucestershire Rural Community Council works with Age UK, social services and local libraries.",London,11/18/2024
Funding boost for national child health centre,Sheffield's planned National Centre for Child Health Technology is to receive an extra £8.8m.,Technology,11/29/2024
Top-selling mobile games break rules on loot boxes,Ads for games are meant to say if they contain loot boxes - BBC News has found most do not.,Technology,11/23/2024
Conservationists turn to AI in battle to save red squirrels,The tech is being used to automatically control the creatures' access to feeders at sites across the UK.,World,11/26/2024
AI spurs 'revolution' for some visually impaired people,AI services that can describe pictures and scenes are helping the visually impaired.,Climate,12/4/2024
Telegram U-turns and joins child safety scheme,It is the latest in a series of changes announced by the platform since its founder Pavel Durov was arrested.,US & Canada,11/27/2024
New tram-like bus involved in crash on launch day,The Go-Ahead London bus reportedly collided with a car belonging to the wife of a Labour councillor.,Nottingham,12/2/2024
Silent nurse call cutting hospital stays - trust,New mothers are getting more rest thanks to silent call bells on a maternity ward.,US & Canada,11/29/2024
"Mum faces £1,000 bill to keep daughter walking","Supplier Made for Movement says it is ""unfortunate"" the NHS does not pay for the equipment.",London,11/22/2024
The superpowers of coatings make possible the impossible,"Hi-tech coatings make all sorts of high performance engineering, like jet engines, possible.",England,11/20/2024
Social media ban for under-16s 'on the table' in UK,"The tech secretary Peter Kyle also said he wanted an ""assertive"" approach from the regulator, Ofcom.",Business,11/21/2024
Thousands of PayPal customers report brief outage,The online payment company says a brief technical issue has now been resolved.,London,12/1/2024
Black Myth: Wukong crowned Ultimate Game of the Year at Golden Joystick Awards,FF VII Rebirth and Helldivers 2 have scooped up the most awards at the public-voted gaming events.,Australia,11/20/2024
Port offers internship with hydrogen firm,Ports of Jersey says the intern will learn how hydrogen could be used in the marine sector.,Innovation,11/20/2024
London's new tram-like buses come into service,The vehicles use pantograph technology and have a structure attached to the bus roof to recharge them.,Australia,11/29/2024
'God's influencer' to be made first millennial saint in April,"London-born Carlo Acutis, who died of leukaemia aged 15, will be canonised by the Catholic church in 2025.",Hull & East Yorkshire,11/21/2024
Could a thermal camera reveal your home's hidden heat loss?,Thermal imaging tech has become cheaper and homeowners are using it to track down heat loss.,Innovation,11/28/2024
Bluesky chief doesn't know age limit for platform,"Jay Graber wrongly said you needed to be 18 to use Bluesky, when the actual age limit is 13.",Technology,11/21/2024
Stowaway caught on flight from New York to Paris,The woman allegedly hopped from one lavatory to another during the seven hour journey.,Leicester,11/28/2024
Is nuclear power gaining new energy?,Countries around the world are building new nuclear power stations.,UK,12/8/2024
US man awarded $1m after 27 years wrongfully jailed,"Michael Sullivan lost his mother and four siblings while behind bars and says the money will ""never make up the years"" he lost.",Cumbria,12/8/2024
Free Christmas parking confirmed in four towns,"Motorists can park for free in council car parks in Stapleford, Kimberley, Beeston and Eastwood.",Wales,11/25/2024
New images released as hunt for New York shooter continues,New York police are still searching for the gunman who killed UnitedHealthcare boss Brian Thompson.,Birmingham & Black Country,12/2/2024
More bus stops to get CCTV so women feel safer,"It is part of a plan to improve women's and girls' safety in the capital, Transport for London says.","NE, Orkney & Shetland",11/28/2024
New £2.45m lifeboat welcomed with water salute,The new all weather lifeboat will come into service in Hartlepool in early 2025.,Technology,11/18/2024
Uber probed by US regulator over subscription plan,The ride-hailing giant says it received inquiries from the FTC about Uber One cancellation procedures.,England,12/6/2024
Virtual reality reveals knife crime true reality,Immersive films give young people an insight into what the aftermath of a stabbing is really like.,UK,11/21/2024
London's Gen Alpha views both 'uplifting and sad',"London’s Generation Alpha is made up of young people acutely aware of both local and national issues, a poll finds.",Wolverhampton,11/22/2024
Australia wants to ban kids from social media. Will it work?,The government has just tabled laws to block access to under-16s - but the proposal is divisive.,England,11/29/2024
How an Arctic archipelago is moving towards clean energy,"Svalbard, a warming Arctic archipelego, begins a shift from coal to clean energy solutions.",US & Canada,12/1/2024
Australia approves social media ban on under-16s,"The ban aims to reduce ""harms"" on children and will take at least a year to implement, the PM says.",Oxford,12/7/2024
Snoop Dogg helps Kai Cenat reclaim Twitch subscriber record,The American has been streaming continuously for 30 days to try reclaim the record he set last year.,Asia,11/22/2024
Police dogs to sniff out cyber criminals' devices,Two dogs are currently being trained to uncover hidden items such as USB drives and mobile phones.,Wales,11/19/2024
How an Arctic archipelago is moving towards clean energy,"Svalbard, a warming Arctic archipelego, begins a shift from coal to clean energy solutions.",BBC InDepth,12/8/2024
Instagram testing tool that resets all recommended posts,Its reset feature would cleanse a user's feed of personalised content suggested by algorithm.,Future,11/17/2024
Futuristic sport likened to 'robotic Quidditch',Schoolchildren take part in a drone soccer tournament in Leicestershire.,Technology,11/21/2024
Lord Blunkett injured in Tube platform gap fall,"The Labour Peer, who is blind is urging Transport for London to do more for visually impaired people.",Derby,11/27/2024
"Sell Chrome to end search monopoly, Google told","The tech giant is resisting fiercely, calling the proposal ""wildly overbroad"" and claiming it will hurt consumers.",England,11/27/2024
Nuclear body opens cyber security hub,"It hopes the hub, at Moor Row near Sellafield, will help defend it against ""evolving threats"".",Devon,12/2/2024
£51m investment in semiconductor plant,US giant Vishay's investment follows its £142m purchase of former Newport Wafer Fab plant last year.,Technology,11/27/2024
Man overcome by new accent ahead of wedding,"A young man with cerebral palsy is gifted a new West Midlands accent, ahead of his wedding.",England,11/19/2024
Fish market 'shout auction' to be replaced,The Peterhead market has until now stuck with the old method of buyers calling out their bids.,Devon,12/4/2024
Google reacts angrily to report it will have to sell Chrome,It's reported the US government wants the world's most popular web browser to be sold off to address monopoly concerns.,Berkshire,11/28/2024
Satellite text helps rescuers save stricken walker,A mountain rescue team says an injured rambler called 999 but could not get a phone signal.,Gloucestershire,11/22/2024
'Trusting' islanders at 'greater risk of fraud',"Fraudsters and scammers target people through the internet and phones, crime prevention staff say.",Culture,11/30/2024
City school reveals major refurbishment plans,"Work includes a two-storey extension to the main building, a new sports hall and 104 space car park.",Liverpool,11/17/2024
"Charity boss proud of helping 45,000 young people","Emma Egging is leaving the trust she set up after the death of her husband, a Red Arrows pilot.",Liverpool,12/5/2024
‘Do not pet’: Why are robot dogs patrolling Mar-A-Lago?,Robotic dogs are helping law enforcement protect President-elect Donald Trump at his Florida residence.,Business,11/19/2024
What is the new battery that never dies?,"The UK Atomic Energy Authority is calling it a ""safe, sustainable way"" to provide continuous power.",Technology,11/29/2024
Chocolate makers stoke boom for Indian cocoa beans,"India produces only a tiny fraction of the world's cocoa beans, but that could be changing.",London,11/29/2024
Should Wales copy Australia's new social media law?,The BBC's Terel Edmunds speaks to people in Cardiff about Australia's social media ban for under-16s.,Technology,11/18/2024
Will flights really reach net zero by 2050 - and at what cost to passengers?,"Governments don’t want to tell people they’re going to have to pay more, argues an expert.",Future,11/18/2024
How robotaxis are trying to win passengers' trust,"Autonomous vehicles are already clocking up millions of miles on public roads, but they face an uphill battle to convince people to climb in to enjoy the ride.",Bristol,11/26/2024
Roblox to ban young children from messaging others,"Parents will also be able to view and manage their child's account, including limiting their screen time.",Business,12/1/2024
Residents must register to use county tips,Waste bosses say the changes will make things fairer for county residents and save money.,Future,11/19/2024
Family firm using the past to look to the future,Leeds firm Sound Leisure has made jukeboxes since 1978 but partnered with Wurlitzer last year.,England,11/14/2024
"Life getting easier over diabetes, father says",Mehdi Taheri will be running 50km for 12 days in a bid to raise funds for a diabetes charity.,Future,12/1/2024
Meta fined €798m over 'unfair' Facebook Marketplace,"The European Union says the tech giant crowded out rivals, breaching competition law.",UK,11/19/2024
Family firm using the past to look to the future,Leeds firm Sound Leisure has made jukeboxes since 1978 but partnered with Wurlitzer last year.,Europe,11/18/2024
"Life getting easier over diabetes, father says",Mehdi Taheri will be running 50km for 12 days in a bid to raise funds for a diabetes charity.,Asia,11/18/2024
'Mobile phones take away children's childhoods',Olly Stephens was ambushed and fatally stabbed in 2021 in Reading over a dispute on social media.,Technology,11/28/2024
Alternative education building gets £1m investment,The council spends £1.3m refurbishing the centre for children who struggle in mainstream school.,Technology,11/28/2024
Ticket booking fees for live shows to rise by 3%,The Villa Marina and Gaiety Theatre complex says it will fund venue maintenance and development.,North Yorkshire,11/23/2024
Cloned customer voice beats bank security checks,The BBC's You And Yours programme used AI to clone a reporter's voice to test bank security measures.,Technology,11/25/2024
'My home runs on the power of a lightbulb',Wirral architect Colin Usher has designed properties with near-zero energy bills,Technology,11/14/2024
Software firm creates 23 jobs in £1.4m investment,Aveva will double its workforce in Derry with a new research and development (R&D) centre.,Technology,12/4/2024
Meta fined €798m over 'unfair' Facebook Marketplace,"The European Union says the tech giant crowded out rivals, breaching competition law.",Formula 1,11/14/2024
